CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-02 00:00:00,5.0,11121.0,5.0,14.0,1594692000.0,5659684000.0,31.0,57.0,43.9,490349680.2737164,610063047.9734207,575376.8837416152,708811.6116898888
2018-08-02 00:15:00,4.0,11024.0,4.0,14.0,1595368000.0,5659008000.0,32.0,57.0,44.1,443637469.97153527,561781317.872507,520535.10678927094,652052.4701024048
2018-08-02 00:30:00,2.0,10844.0,4.0,14.0,1595392000.0,5658984000.0,32.0,57.0,43.7,411662348.41684806,531441524.9794682,480107.5337652551,614546.8156482293
2018-08-02 00:45:00,3.0,10857.0,2.0,13.0,1596356000.0,5658020000.0,33.0,57.0,44.2,376783207.0212138,497150497.7191837,439116.8713129284,576091.3668631085
2018-08-02 01:00:00,1.0,10806.0,5.0,12.0,1599092000.0,5655284000.0,30.0,56.0,43.5,326322287.3072553,446540862.4201063,382671.7992246907,520741.6850422539
2018-08-02 01:15:00,0.0,10719.0,1.0,13.0,1597456000.0,5656920000.0,33.0,57.0,44.0,298959391.4086433,419064784.11774486,350483.2598659779,488957.7390997382
2018-08-02 01:30:00,2.0,10713.0,1.0,13.0,1597496000.0,5656880000.0,31.0,56.0,43.5,271731581.77264655,392200229.34048766,319187.0436905282,459182.1754479538
2018-08-02 01:45:00,1.0,10662.0,0.0,13.0,1598164000.0,5656212000.0,31.0,56.0,43.5,237560807.88491264,357856044.09478784,282089.042179263,423814.3171044228
2018-08-02 02:00:00,2.0,10636.0,2.0,12.0,1598596000.0,5655780000.0,33.0,56.0,43.5,210069592.64274573,330548929.3692249,252586.75844496387,395984.94124665513
2018-08-02 02:15:00,1.0,10583.0,1.0,14.0,1598912000.0,5655464000.0,32.0,56.0,43.6,184102680.9039653,304354369.53298146,224682.98422638234,369606.87528198387
2018-08-02 02:30:00,2.0,10563.0,1.0,12.0,1599024000.0,5655352000.0,32.0,56.0,43.9,160497632.4153119,281103985.31758577,198026.69529551925,345370.8259691179
2018-08-02 02:45:00,2.0,10518.0,6.0,12.0,1599336000.0,5655040000.0,32.0,56.0,43.4,146664180.89583284,267523179.75869694,181943.2444789391,330241.47577706526
2018-08-02 03:00:00,0.0,10522.0,2.0,12.0,1599424000.0,5654952000.0,32.0,56.0,43.6,134782330.96082604,255438443.8903514,167000.13995618714,315002.0734775976
2018-08-02 03:15:00,1.0,10512.0,2.0,12.0,1599584000.0,5654792000.0,32.0,56.0,43.7,126338965.70149823,245369145.27876255,158012.45816595512,303545.3099061515
2018-08-02 03:30:00,4.0,10496.0,2.0,11.0,1599848000.0,5654528000.0,32.0,56.0,43.6,114066556.40589592,224844645.46920818,143487.9320600515,280357.57471177116
2018-08-02 03:45:00,2.0,10478.0,5.0,12.0,1599860000.0,5654516000.0,32.0,56.0,43.8,101778478.15153784,200513306.63585052,129340.75117479508,252436.31289592816
2018-08-02 04:00:00,5.0,10467.0,3.0,12.0,1599876000.0,5654500000.0,32.0,56.0,43.9,93724435.76399776,184674852.57480952,120387.93602646266,234624.3380704958
2018-08-02 07:00:00,1.0,10852.0,3.0,15.0,1596528000.0,5657844000.0,32.0,57.0,44.0,148935814.72356558,268806447.0222455,212091.8946230488,381942.330446755
2018-08-02 07:15:00,2.0,10859.0,4.0,15.0,1596468000.0,5657904000.0,31.0,56.0,43.7,164816397.5427376,284592422.8603099,207454.098870659,357667.2944806423
2018-08-02 07:30:00,4.0,11068.0,2.0,15.0,1596112000.0,5658260000.0,32.0,57.0,43.7,187217826.02190772,307383083.4602288,228797.9759983693,374337.6340498319
2018-08-02 07:45:00,1.0,11252.0,3.0,15.0,1596128000.0,5658244000.0,32.0,56.0,44.0,206594818.7668451,327064107.9172815,249826.4619176815,395373.6053747638
2018-08-02 08:45:00,3.0,12103.0,3.0,18.0,1596576000.0,5657796000.0,32.0,57.0,43.9,306288343.33001286,425508465.3644729,363075.55003627425,502351.8726305431
2018-08-02 09:00:00,1.0,12367.0,5.0,17.0,1596504000.0,5657868000.0,32.0,57.0,43.9,322225124.7390021,441656699.7806279,382084.45222861547,522085.91299226234
2018-08-02 09:15:00,3.0,12746.0,2.0,18.0,1596024000.0,5658348000.0,33.0,57.0,44.3,348234660.8646476,465646146.365286,413218.2352362721,551114.177789564
2018-08-02 09:30:00,8.0,13342.0,4.0,21.0,1594440000.0,5659932000.0,33.0,57.0,44.3,374326815.6396382,493219530.52111477,444794.62266302184,584192.5421895995
2018-08-02 09:45:00,7.0,13817.0,3.0,21.0,1596224000.0,5658152000.0,31.0,58.0,44.1,395243333.09792763,513715323.9309045,470613.1526388767,609725.6082034797
2018-08-02 10:00:00,7.0,14246.0,0.0,23.0,1594372000.0,5660000000.0,33.0,58.0,44.4,434674600.5285008,551521666.7847116,519650.33480557485,655117.6562487554
2018-08-02 10:15:00,2.0,14367.0,6.0,21.0,1595076000.0,5659296000.0,32.0,58.0,44.7,476502946.315796,593855584.8422534,569731.3746623504,705069.2047926061
